station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
CYOD,2024-06-02 10:00,33.80,33.80,100.00,320.00,2.00,0.00,29.74,1008.40,15.00,M,FEW,M,M,M,23000.00,M,M,M,MIFG,M,M,M,M,M,M,33.80,CYOD 021000Z 32002KT 15SM MIFG FEW230 01/01 A2974 RMK CI1 DENSITY ALT 744FT SLP084,M
CYOD,2024-06-02 11:00,32.00,32.00,100.00,310.00,2.00,0.00,29.74,1008.40,15.00,M,FEW,M,M,M,23000.00,M,M,M,MIFG,M,M,M,M,M,M,32.00,CYOD 021100Z 31002KT 15SM MIFG FEW230 00/00 A2974 RMK CI1 DENSITY ALT 605FT SLP084,M
CYOD,2024-06-02 12:00,32.00,32.00,100.00,0.00,0.00,0.00,29.74,1008.70,15.00,M,FEW,M,M,M,21000.00,M,M,M,MIFG,M,M,M,M,M,M,32.00,CYOD 021200Z 00000KT 15SM MIFG FEW210 00/M00 A2974 RMK CI1 DENSITY ALT 589FT SLP087,M
CYOD,2024-06-02 13:00,39.20,37.40,93.19,360.00,2.00,0.00,29.75,1008.80,15.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,39.20,CYOD 021300Z 36002KT 15SM FEW110 04/03 A2975 RMK AC1 DENSITY ALT 1140FT SLP088,M
CYOD,2024-06-02 14:00,44.60,37.40,75.68,350.00,2.00,0.00,29.76,1009.00,15.00,M,FEW,FEW,M,M,3000.00,11000.00,M,M,M,M,M,M,M,M,M,44.60,CYOD 021400Z 35002KT 15SM FEW030 FEW110 07/03 A2976 RMK CF1AC1 DENSITY ALT 1469FT SLP090,M
CYOD,2024-06-02 15:00,50.00,37.40,61.76,30.00,3.00,0.00,29.75,1008.70,15.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,50.00,CYOD 021500Z 03003KT 15SM FEW110 10/03 A2975 RMK AC1 DENSITY ALT 1812FT SLP087,M
CYOD,2024-06-02 16:00,53.60,37.40,54.07,310.00,4.00,0.00,29.74,1008.50,15.00,M,FEW,FEW,M,M,3000.00,11000.00,M,M,M,M,M,M,M,M,M,53.60,CYOD 021600Z 31004KT 15SM FEW030 FEW110 12/03 A2974 RMK CU1AC1 DENSITY ALT 2166FT SLP085,M
CYOD,2024-06-02 17:00,57.20,35.60,44.19,200.00,5.00,0.00,29.74,1008.10,15.00,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,57.20,CYOD 021700Z 20005KT 15SM FEW040 14/02 A2974 RMK CU1 DENSITY ALT 2348FT SLP081,M
CYOD,2024-06-02 18:00,60.80,35.60,38.85,120.00,6.00,0.00,29.73,1007.80,15.00,M,FEW,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,60.80,CYOD 021800Z 12006KT 15SM FEW050 16/02 A2973 RMK CU2 DENSITY ALT 2570FT SLP078,M
CYOD,2024-06-02 19:00,59.00,35.60,41.42,10.00,5.00,0.00,29.72,1007.70,15.00,M,SCT,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,59.00,CYOD 021900Z 01005KT 15SM SCT050 15/02 A2972 RMK CU3 DENSITY ALT 2507FT SLP077,M
CYOD,2024-06-02 20:00,62.60,35.60,36.45,40.00,5.00,0.00,29.71,1007.40,15.00,M,SCT,M,M,M,5500.00,M,M,M,M,M,M,M,M,M,M,62.60,CYOD 022000Z 04005KT 15SM SCT055 17/02 A2971 RMK CU3 DENSITY ALT 2717FT SLP074,M
CYOD,2024-06-02 21:00,60.80,35.60,38.85,20.00,5.00,0.00,29.70,1007.40,15.00,M,FEW,FEW,M,M,6500.00,25000.00,M,M,M,M,M,M,M,M,M,60.80,CYOD 022100Z 02005KT 15SM FEW065 FEW250 16/02 A2970 RMK CU2CI1 DENSITY ALT 2602FT SLP074,M
CYOD,2024-06-02 22:00,64.40,35.60,34.22,80.00,6.00,0.00,29.69,1006.80,15.00,M,SCT,SCT,M,M,7500.00,25000.00,M,M,M,M,M,M,M,M,M,64.40,CYOD 022200Z 08006KT 15SM SCT075 SCT250 18/02 A2969 RMK CU3CI1 DENSITY ALT 2901FT SLP068,M
CYOD,2024-06-02 23:00,64.40,35.60,34.22,70.00,7.00,0.00,29.68,1006.40,15.00,M,FEW,FEW,M,M,6500.00,11000.00,M,M,M,M,M,M,M,M,M,64.40,CYOD 022300Z 07007KT 15SM FEW065 FEW110 18/02 A2968 RMK CU2AC1 DENSITY ALT 2912FT SLP064,M
CYOD,2024-06-03 00:00,64.40,35.60,34.22,100.00,8.00,0.00,29.67,1006.00,15.00,M,FEW,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,64.40,CYOD 030000Z 10008KT 15SM FEW070 18/02 A2967 RMK CU2 DENSITY ALT 2970FT SLP060,M
CYOD,2024-06-03 01:00,64.40,35.60,34.22,70.00,9.00,0.00,29.66,1005.60,15.00,M,FEW,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,64.40,CYOD 030100Z 07009KT 15SM FEW070 18/02 A2966 RMK CU1 DENSITY ALT 2967FT SLP056,M
CYOD,2024-06-03 02:00,62.60,33.80,33.93,100.00,7.00,0.00,29.66,1005.30,15.00,M,FEW,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,62.60,CYOD 030200Z 10007KT 15SM FEW070 17/01 A2966 RMK AC2 DENSITY ALT 2841FT SLP053,M
CYOD,2024-06-03 03:00,59.00,35.60,41.42,100.00,7.00,0.00,29.65,1004.90,15.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,59.00,CYOD 030300Z 10007KT 15SM FEW110 15/02 A2965 RMK AC2 DENSITY ALT 2574FT SLP049,M
CYOD,2024-06-03 04:00,55.40,37.40,50.64,100.00,7.00,0.00,29.65,1004.90,15.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,55.40,CYOD 030400Z 10007KT 15SM FEW110 13/03 A2965 RMK AC1 DENSITY ALT 2293FT SLP049,M
CYOD,2024-06-03 05:00,51.80,37.40,57.77,110.00,9.00,0.00,29.64,1004.70,15.00,M,FEW,M,M,M,12000.00,M,M,M,M,M,M,M,M,M,M,51.80,CYOD 030500Z 11009KT 15SM FEW120 11/03 A2964 RMK AC2 DENSITY ALT 2169FT SLP047,M
CYOD,2024-06-03 06:00,51.80,39.20,61.99,100.00,11.00,0.00,29.63,1004.20,15.00,M,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,51.80,CYOD 030600Z 10011KT 15SM SCT110 11/04 A2963 RMK AC4 DENSITY ALT 2171FT SLP042,M
CYOD,2024-06-03 07:00,50.00,39.20,66.27,110.00,10.00,0.00,29.63,1004.30,15.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,50.00,CYOD 030700Z 11010KT 15SM FEW110 10/04 A2963 RMK AC1 DENSITY ALT 2008FT SLP043,M
CYOD,2024-06-03 08:00,48.20,39.20,70.88,110.00,10.00,0.00,29.62,1003.80,15.00,M,FEW,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,43.28,CYOD 030800Z 11010KT 15SM FEW110 09/04 A2962 RMK AC1 DENSITY ALT 1919FT SLP038,M
CYOD,2024-06-03 09:00,48.20,39.20,70.88,100.00,11.00,0.00,29.60,1003.50,15.00,M,SCT,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,42.94,CYOD 030900Z 10011KT 15SM SCT110 09/04 A2960 RMK AC3 DENSITY ALT 1854FT SLP035,M
CYOD,2024-06-03 10:00,48.20,39.20,70.88,90.00,11.00,0.00,29.59,1002.80,15.00,M,BKN,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,42.94,CYOD 031000Z 09011KT 15SM BKN100 09/04 A2959 RMK AC5 DENSITY ALT 1863FT SLP028,M
CYOD,2024-06-03 11:00,46.40,37.40,70.68,90.00,12.00,0.00,29.58,1002.40,15.00,M,BKN,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,40.33,CYOD 031100Z 09012KT 15SM BKN095 08/03 A2958 RMK AC6 DENSITY ALT 1845FT SLP024,M
CYOD,2024-06-03 12:00,46.40,37.40,70.68,100.00,8.00,0.00,29.57,1002.10,15.00,M,BKN,BKN,M,M,9500.00,15000.00,M,M,M,M,M,M,M,M,M,41.85,CYOD 031200Z 10008KT 15SM BKN095 BKN150 08/03 A2957 RMK AC5AC2 DENSITY ALT 1817FT SLP021,M
CYOD,2024-06-03 13:00,46.40,37.40,70.68,100.00,8.00,0.00,29.56,1001.70,15.00,M,BKN,BKN,M,M,9500.00,15000.00,M,M,M,M,M,M,M,M,M,41.85,CYOD 031300Z 10008KT 15SM BKN095 BKN150 08/03 A2956 RMK AC6AC1 DENSITY ALT 1855FT SLP017,M
CYOD,2024-06-03 14:00,51.80,37.40,57.77,110.00,12.00,0.00,29.54,1000.90,15.00,M,BKN,BKN,M,M,9500.00,15000.00,M,M,M,M,M,M,M,M,M,51.80,CYOD 031400Z 11012KT 15SM BKN095 BKN150 11/03 A2954 RMK AC5AC2 DENSITY ALT 2250FT SLP009,M
CYOD,2024-06-03 15:00,53.60,37.40,54.07,90.00,15.00,0.00,29.52,1000.40,15.00,M,SCT,OVC,M,M,11000.00,17000.00,M,M,M,M,M,M,M,M,M,53.60,CYOD 031500Z 09015KT 15SM SCT110 OVC170 12/03 A2952 RMK AC4AC4 DENSITY ALT 2422FT SLP004,M
CYOD,2024-06-03 16:00,57.20,37.40,47.44,90.00,14.00,0.00,29.50,999.80,15.00,M,FEW,BKN,OVC,M,6000.00,17000.00,26000.00,M,M,M,M,M,M,M,M,57.20,CYOD 031600Z 09014KT 15SM FEW060 BKN170 OVC260 14/03 A2950 RMK SC1AS5CI3 DENSITY ALT 2647FT SLP998,M
CYOD,2024-06-03 17:00,60.80,39.20,44.76,80.00,16.00,0.00,29.48,999.00,15.00,M,FEW,BKN,OVC,M,6000.00,11000.00,26000.00,M,M,M,M,M,M,M,M,60.80,CYOD 031700Z 08016KT 15SM FEW060 BKN110 OVC260 16/04 A2948 RMK SC1AC5CI3 DENSITY ALT 2884FT SLP990,M
CYOD,2024-06-03 18:00,59.00,39.20,47.72,80.00,16.00,0.00,29.47,998.80,15.00,M,FEW,BKN,OVC,M,5000.00,7500.00,12000.00,M,M,M,M,M,M,M,M,59.00,CYOD 031800Z 08016KT 15SM FEW050 BKN075 OVC120 15/04 A2947 RMK SC1AC5AS3 DENSITY ALT 2874FT SLP988,M
CYOD,2024-06-03 19:00,60.80,41.00,48.00,90.00,13.00,0.00,29.46,998.40,15.00,M,FEW,BKN,OVC,M,5000.00,7500.00,12000.00,M,M,M,M,M,M,M,M,60.80,CYOD 031900Z 09013KT 15SM FEW050 BKN075 OVC120 16/05 A2946 RMK SC1AC6AS2 DENSITY ALT 2940FT SLP984,M
CYOD,2024-06-03 19:17,60.80,41.00,48.00,80.00,13.00,0.00,29.46,998.30,12.00,M,FEW,BKN,OVC,M,5000.00,7500.00,12000.00,M,-RA,M,M,M,M,M,M,60.80,CYOD 031917Z 08013KT 12SM -RA FEW050 BKN075 OVC120 16/05 A2946 RMK SC1AC6AS2 DENSITY ALT 2917FT SLP983,M
CYOD,2024-06-03 20:00,59.00,41.00,51.18,80.00,13.00,0.00,29.46,998.30,12.00,M,SCT,OVC,M,M,4000.00,7000.00,M,M,-RA,M,M,M,M,M,M,59.00,CYOD 032000Z 08013KT 12SM -RA SCT040 OVC070 15/05 A2946 RMK SC3AS5 DENSITY ALT 2821FT SLP983,M
CYOD,2024-06-03 21:00,59.00,44.60,58.77,80.00,11.00,0.00,29.45,998.10,9.00,M,SCT,OVC,M,M,4000.00,7000.00,M,M,-RA,M,M,M,M,M,M,59.00,CYOD 032100Z 08011KT 9SM -RA SCT040 OVC070 15/07 A2945 RMK SC3AS5 DENSITY ALT 2827FT SLP981,M
CYOD,2024-06-03 22:00,55.40,48.20,76.66,80.00,8.00,0.00,29.44,998.00,7.00,M,FEW,OVC,M,M,3000.00,5000.00,M,M,-RA,M,M,M,M,M,M,55.40,CYOD 032200Z 08008KT 7SM -RA FEW030 OVC050 13/09 A2944 RMK SC2SC6 DENSITY ALT 2705FT SLP980,M
CYOD,2024-06-03 23:00,55.40,50.00,81.99,60.00,11.00,0.00,29.42,997.40,9.00,M,SCT,OVC,M,M,5000.00,7000.00,M,M,-RA,M,M,M,M,M,M,55.40,CYOD 032300Z 06011KT 9SM -RA SCT050 OVC070 13/10 A2942 RMK SC4AS4 DENSITY ALT 2722FT SLP974,M
CYOD,2024-06-04 00:00,55.40,50.00,81.99,70.00,9.00,0.00,29.42,997.40,9.00,M,FEW,OVC,M,M,3000.00,5000.00,M,M,-RA,M,M,M,M,M,M,55.40,CYOD 040000Z 07009KT 9SM -RA FEW030 OVC050 13/10 A2942 RMK SC2SC6 DENSITY ALT 2638FT SLP974,M
CYOD,2024-06-04 01:00,55.40,50.00,81.99,60.00,9.00,0.00,29.41,997.10,15.00,M,OVC,M,M,M,6000.00,M,M,M,-RA,M,M,M,M,M,M,55.40,CYOD 040100Z 06009KT 15SM -RA OVC060 13/10 A2941 RMK SC8 DENSITY ALT 2721FT PCPN VRY LGT SLP971,M
CYOD,2024-06-04 02:00,55.40,48.20,76.66,70.00,14.00,0.00,29.41,996.70,15.00,M,OVC,M,M,M,5500.00,M,M,M,-RA,M,M,M,M,M,M,55.40,CYOD 040200Z 07014KT 15SM -RA OVC055 13/09 A2941 RMK SC8 DENSITY ALT 2705FT PCPN VRY LGT SLP967,M
CYOD,2024-06-04 03:00,55.40,50.00,81.99,70.00,14.00,0.00,29.40,996.30,15.00,M,BKN,OVC,M,M,2000.00,5000.00,M,M,M,M,M,M,M,M,M,55.40,CYOD 040300Z 07014KT 15SM BKN020 OVC050 13/10 A2940 RMK SC5SC3 DENSITY ALT 2674FT SLP963,M
CYOD,2024-06-04 03:40,53.60,50.00,87.56,60.00,13.00,0.00,29.41,996.80,15.00,M,BKN,OVC,M,M,2000.00,5000.00,M,M,-SHRA,M,M,M,M,M,M,53.60,CYOD 040340Z 06013KT 15SM -SHRA BKN020 OVC050 12/10 A2941 RMK SC5SC3 DENSITY ALT 2623FT SLP968,M
CYOD,2024-06-04 04:00,53.60,50.00,87.56,70.00,14.00,0.00,29.41,996.70,3.00,M,BKN,OVC,M,M,2000.00,4000.00,M,M,-SHRA,M,M,M,M,M,M,53.60,CYOD 040400Z 07014KT 3SM -SHRA BKN020 OVC040 12/10 A2941 RMK SC6SC2 DENSITY ALT 2578FT SLP967,M
CYOD,2024-06-04 05:00,53.60,50.00,87.56,50.00,9.00,0.00,29.40,996.10,6.00,M,OVC,M,M,M,1900.00,M,M,M,-SHRA,M,M,M,M,M,M,53.60,CYOD 040500Z 05009KT 6SM -SHRA OVC019 12/10 A2940 RMK SC8 DENSITY ALT 2541FT SLP961,M
CYOD,2024-06-04 06:00,53.60,50.00,87.56,50.00,14.00,0.00,29.39,995.80,8.00,M,OVC,M,M,M,1900.00,M,M,M,-SHRA,M,M,M,M,M,M,53.60,CYOD 040600Z 05014KT 8SM -SHRA OVC019 12/10 A2939 RMK SC8 DENSITY ALT 2537FT PCPN VRY LGT SLP958,M
CYOD,2024-06-04 06:35,51.80,50.00,93.55,30.00,10.00,0.00,29.38,995.70,3.00,M,OVC,M,M,M,1500.00,M,M,M,-SHRA,M,M,M,M,M,M,51.80,CYOD 040635Z 03010KT 3SM -SHRA OVC015 11/10 A2938 RMK SC8 DENSITY ALT 2471FT SLP957,M
